Year,Approx_date,Area,City,Author,Title,Language,Ms.,Printer,External_link,Source,Location,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,1,Italy,Perugia,Ps-Fibonacci [maestro umbro],Livero de l'abbecho; Primo amastrameno de l'arte de la geometria,Italian (Umbrian),1,,,"Franci 2003, Van Egmond (1980), Schärlig (2010), published in Lo Livero de l'abbecho, edited by Andrea Bocchi  (ETS, 2017) and in Maestro Umbro (sec. XIII), Livero de l’abbecho (Cod. 2404 della Biblioteca Riccardiana di Firenze), a cura e con introduzione di G. Arrighi, «Bollettino della Deputazione di Storia Patria per l’Umbria», 86 (1989), pp. 5-140.","Florence, Biblioteca Riccardiana, Ricc. 2404, cc 1-178. Lo Livero de l'abbecho, edited by Andrea Bocchi  (ETS, 2017)","Livero de l'abbecho: rule of three, commercial problems, exchange, chain rule, alloying, interest rates (simple and composite), current accounts, companies (also with applications to farming 'soccide'), misc. problems, rule of false position, recreational problems. Primo amastramento: plain and solid geometry, weights and measures (from Assisi, Gubbio and Perugia)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIII_ex,1,Italy,Pisa,Anonymous,[Libro d'abaco],Italian,1,,,"Franci (2015), Bocchi (2006) Un libro d'abaco pisano del primo Trecento, «Studi linguistici italiani», Van Egmond (1980)","Siena, Biblioteca Comunale degli Intronati, L. VI. 47, II. Published in Franci, R (2015), Un trattato d'abaco pisano della fine del xiii secolo, Bollettino di storia delle scienze matematiche, 35 (2015) 1. and in Andrea Bocchi, Un libro d'abaco pisano del primo Trecento, «Studi linguistici italiani», XXXII, 2006, pp. 15-77, 177-211","Numerical tables, commercial problems, recreational problems, alloying. It uses operations with integers and fractions, makes extensive use of proportions and mentions weights and measures. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,0,France,Montpellier,Jacopo da Firenze,Tractatus algorismi,Italian (Florentin),1,,,"Van Egmond (1980), Franci (2003), Høyrup (2007), Schärlig (2010), Høyrup (2024)","Florence, Biblioteca Riccardiana, Ricc. 2236. Copies: Trivulziana 90, Vat. Lat. 4826",Introduction of the positional numeral system (fols. 1r-4v); multiplication tables (fols. 5r-16v); fractions and operations with fractions (fols. 17r-19r); rule of three and miscellaneous practical and recreational problems (fols. 19v-36v); practical geometry (fols. 37r-43r); a section on alloying with tables of fineness of different coins (fols. 43r-48v).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,1,Italy,,"Anonymous, Fibonacci, Sidrace filosofo","Liber abaci (acephalic), Bele quistioni",Italian,1,,,"Van Egmond (1980), Bacchelli (2012)","Florence, Biblioteca Riccardiana, Ricc. 2263, fols. 51-81",Misc problems from the Liber Abaci. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,1,France,Montpellier,Paolo Gherardi?,Liber habaci,Italian,1,,,"Van Egmond (1980), Schärlig (2010), Gino Arrighi argues that it is a work by Paolo Gerardi in Due trattati di Paolo Gherardi matematico fiorentino, Atti dell'accademia delle scienze di Torino, 101 (1966-67)","Florence, Biblioteca Nazionale Centrale, Magl. CI. XI. 88","Operations with fractions, business problems (interest rates, exchange), geometry, weights, operations, alloying, astronomy and astrology. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,1,Italy,Pisa,Anonymous,Il trattato d’arismetricha,Italian (Pisan),1,,,"Franci (2018), Franci (2003), Franci-Toti Rigatelli (1988) in Mathematics from manuscript to print 1300-1600","Florence, Biblioteca Riccardiana, Ricc. 2252, fols. 1-53","[Franci 2003] Gli argomenti trattati sono i seguenti: rappresentazione dei numeri con il sistema posizionale e con le mani, algoritmi per le quattro operazioni, la regola delle tre cose, ragioni di merito, 6 chaselle di cambiare monete, le 13 chaselle, ragioni di regare a termine, regole di sconto, pagamenti da una città a un’altra, compere in diversi luoghi, cambio di monete, baratti in diversi modi, regole di compagnie, regole di consolare monete, merito a capodanno, ragioni della cosa maggiore, come si trova le radici di numeri, raccogliere i numeri.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIV_in,1,Italy,Pisa,Anonymous,Miscellany; Tariffa,Italian,1,,,Van Egmond (1980),"Siena, Biblioteca Comunale degli Intronati, L. VI. 47, IV","Misc problems , list of fairs, tariffs on weights, section on Acre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,1,Italy,Venice,Anonymous,Zibaldone riccardiano / Algorismis,Italian (Venetian?),1,,,Van Egmond (1980). Bocchi (2021) Lo Zibaldone Riccardiano 2161: una pratica di mercatura veneziana del primo Trecento,"Florence, Biblioteca Riccardiana, Ricc 2161","Exposition of operations with fractions, miscellaneous business problems, “recreational” problems, a practical geometry, a list of moral recommendations, a section on weights and measures, information on commercial customs (tariff), and a few notes on astrology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,1,Italy?,,Anonymous,"Algorismus sive arimetica; Tractatus helcatainy; Al-Khwarizmi, De algebra et almutabila: Libro geometrice",Latin,1,,,Van Egmond (1980),"Florence, Biblioteca Nazionale Centrale, Conv. Sopp. C. 7. 2645","Algorismus sive arimetica: operations, fractions, recreational problems. Tractatus helcatainy. Al-Khwarizmi, De algebra et almutabila: misc recreational problems. Libro geometrice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIV/I,1,Italy,,Anonymous,Libre algorissimi,Italian,1,,,Van Egmond (1980),"Florence, Biblioteca Nazionale Centrale, Magl. CI. XI. 73","List of contents, multiplication tables, fractions, recreational problems, business problems, measurement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
